0.017080,0.205220,0.102100,0.492488,0.175229,0.656656,0.232684,0.852573,0.226937,0.983061,0.221718,1.001792,0.221627,1.001385,0.221854,1.000345,0.217888,1.002241,0.278475,1.002894,0.321722,1.001303,0.351991,1.000301,0.384453,1.000239,0.382245,1.000145,0.381721,1.000017
0.018642,0.169146,0.105273,0.462185,0.180059,0.627219,0.240702,0.824405,0.239463,0.974251,0.234219,1.001253,0.234124,1.001385,0.234352,1.000297,0.230384,1.002286,0.290973,1.002966,0.334280,1.001325,0.364549,1.000301,0.397011,1.000243,0.394886,1.000148,0.394361,1.000017
0.020986,0.137705,0.108447,0.431651,0.184892,0.597167,0.248321,0.794855,0.251998,0.962493,0.246729,0.999672,0.246621,1.001385,0.246849,1.000249,0.242881,1.002330,0.303470,1.003037,0.346839,1.001347,0.377108,1.000301,0.409570,1.000247,0.407527,1.000152,0.407002,1.000017
0.029512,0.061164,0.111617,0.403430,0.189729,0.566343,0.255545,0.764623,0.264544,0.947496,0.259244,0.997513,0.259119,1.001385,0.259347,1.000202,0.255378,1.002375,0.315967,1.003109,0.359397,1.001369,0.389666,1.000301,0.422128,1.000251,0.420167,1.000155,0.419642,1.000017
0.024110,0.108120,0.115184,0.371276,0.194566,0.535364,0.262376,0.734039,0.277103,0.928450,0.271764,0.994660,0.271616,1.001385,0.271845,1.000154,0.267875,1.002420,0.328464,1.003180,0.371956,1.001392,0.402225,1.000301,0.434687,1.000255,0.432808,1.000158,0.432282,1.000018
0.027234,0.078535,0.119146,0.336486,0.199403,0.504386,0.268820,0.703965,0.289677,0.904837,0.284294,0.990650,0.284118,1.000809,0.284342,1.000107,0.280371,1.002464,0.340961,1.003251,0.384514,1.001414,0.414783,1.000301,0.447245,1.000258,0.445448,1.000161,0.444922,1.000018
0.031530,0.049946,0.123103,0.304471,0.204240,0.473562,0.274870,0.673362,0.301873,0.877473,0.296835,0.985253,0.296625,0.999599,0.296840,1.000059,0.292868,1.002509,0.353458,1.003323,0.397073,1.001436,0.427341,1.000301,0.459804,1.000262,0.458089,1.000165,0.457562,1.000018
0.040513,0.022192,0.127060,0.273012,0.209076,0.442892,0.280915,0.641949,0.312901,0.848689,0.309390,0.978121,0.309127,0.998966,0.309338,1.000012,0.305365,1.002554,0.365955,1.003394,0.409631,1.001458,0.439900,1.000301,0.472362,1.000266,0.470730,1.000168,0.470203,1.000018
0.051968,0.005564,0.131407,0.241429,0.213909,0.412685,0.286580,0.612235,0.322759,0.819619,0.321963,0.968849,0.321637,0.997468,0.321835,0.999964,0.317861,1.002598,0.378452,1.003466,0.422190,1.001481,0.452458,1.000301,0.484921,1.000270,0.483370,1.000171,0.482843,1.000019
0.063554,0.000626,0.136145,0.209507,0.218740,0.383095,0.291861,0.583592,0.331837,0.790290,0.334556,0.957091,0.334151,0.995394,0.334333,0.999917,0.330358,1.002643,0.390949,1.003537,0.434748,1.001503,0.465017,1.000301,0.497479,1.000274,0.496011,1.000175,0.495483,1.000019
