PAR0_Mwi,PAR0_grs,PAR5_Mwi,PAR5_grs,PBR0_Mwi,PBR0_grs,PBR8_Mwi,PBR8_grs,PCR0_Mwi,PCR0_grs,PCR4_Mwi,PCR4_grs,PDR0_Mwi,PDR0_grs,PDR4_Mwi,PDR4_grs,Fcontr_Mwi,Fcontr_grs,Pcontrol_Mwi,Pcontrol_grs
238939,2.071526299,89484,2.513540694,115927,2.392420298,89484,2.485752472,228207,1.78073791,107219,2.259724986,162692,1.87452215,114252,2.138688938,216715,1.905995922,83598,2.438283457
220489,2.094947273,83598,2.47831989,106975,2.371777362,83598,2.447131856,213273,1.819066653,100619,2.264200673,152045,1.909247569,107219,2.15869215,202460,1.938775127,78099,2.399627951
203463,2.106925122,78099,2.438578329,98715,2.341100998,78099,2.400051863,199317,1.851394431,94425,2.259807869,142095,1.936017165,100619,2.171443589,189143,1.963411726,72962,2.341559361
187752,2.117049257,72962,2.377301527,91092,2.290117746,72962,2.335934526,186273,1.8824833,88612,2.244598819,132797,1.96293687,94425,2.168912769,176702,1.995188764,68163,2.282552117
173255,2.126282182,68163,2.307353093,84058,2.233805737,68163,2.266124898,174084,1.908306806,83158,2.21579694,124107,1.977497528,88612,2.149736941,165079,2.01727819,63679,2.213347669
159877,2.11740574,63679,2.235226476,77568,2.16366776,63679,2.189081316,162692,1.935330506,78039,2.186000463,115985,1.989806538,83158,2.135184726,154220,2.036778685,59491,2.138297963
147531,2.120756686,59491,2.15340078,71578,2.082200172,59491,2.105910614,152045,1.952442935,73235,2.137928262,108395,1.991507784,78039,2.109097811,144076,2.054734173,55577,2.059834967
136139,2.103288989,55577,2.069314707,66051,1.991227232,55577,2.024479225,142095,1.9659935,68726,2.085670464,101302,1.990957381,73235,2.079019989,134599,2.052938624,51922,1.978470676
125627,2.086142127,51922,1.971625265,60951,1.906879235,51922,1.941110874,132797,1.974510999,64496,2.028273914,94673,1.981800678,68726,2.026943499,125746,2.062083396,48506,1.901159665
115927,2.056660932,48506,1.906690761,56244,1.806544963,48506,1.857979703,124107,1.975091737,60526,1.969882766,88477,1.968390862,64496,1.978614571,117475,2.047092652,45316,1.821800681
106975,2.026573715,45316,1.823549936,51901,1.716004084,45316,1.779513048,115985,1.974085124,56800,1.901504204,82687,1.948025955,60526,1.921330433,109747,2.041079651,42335,1.74581232
98715,1.990105441,42335,1.741888632,47894,1.633384333,42335,1.700334857,108395,1.970639409,53303,1.829437344,77276,1.926960535,56800,1.863656938,102529,2.019783607,39550,1.673237249
91092,1.944974615,39550,1.669474331,44195,1.548892314,39550,1.623212215,101302,1.956082229,50022,1.764539872,72219,1.880876802,53303,1.8025279,95784,1.993017403,36949,1.590507642
84058,1.891751611,36949,1.582388118,40783,1.471169259,36949,1.541899415,94673,1.935562801,46943,1.696617167,67493,1.839896804,50022,1.746995868,89484,1.960238198,34518,1.509740675
77568,1.824732691,34518,1.505905136,37634,1.389509644,34518,1.46347229,88477,1.908810113,44053,1.633335917,63077,1.796064719,46943,1.692096541,83598,1.915224208,32248,1.429827032
71578,1.755610517,32248,1.421942355,34728,1.314859026,32248,1.38603341,82687,1.877411517,41341,1.566780783,58949,1.742725675,44053,1.639582025,78099,1.865449925,30127,1.353540008
66051,1.67133779,30127,1.342829114,32046,1.232431301,30127,1.307131927,77276,1.842876932,38796,1.501676104,55091,1.680730295,41341,1.57436474,72962,1.808702232,28145,1.285188883
60951,1.600860979,28145,1.255866195,29572,1.164453632,28145,1.229890696,72219,1.811284756,36408,1.434209256,51486,1.622687807,38796,1.511970292,68163,1.748948038,26294,1.204848578
56244,1.520010495,26294,1.178232475,27288,1.081113778,26294,1.15573279,67493,1.747868109,34167,1.370845122,48117,1.568348031,36408,1.453858771,63679,1.681134753,24564,1.127878896
51901,1.442546605,24564,1.10363999,25181,1.014192259,24564,1.087741532,63077,1.68805204,32064,1.309801715,44968,1.514608694,34167,1.404410441,59491,1.619417983,22948,1.061405081
47894,1.370608211,22948,1.029458483,23237,0.936469203,22948,1.0146114,58949,1.624712825,30090,1.246064607,42026,1.454914998,32064,1.340458565,55577,1.548723469,21439,0.995016597
44195,1.296744805,21439,0.959510049,21442,0.873916306,21439,0.956304944,55091,1.565748506,28238,1.177644603,39275,1.400725331,30090,1.278064117,51922,1.485002366,20029,0.920478885
40783,1.230581446,20029,0.894164566,19787,0.807954924,20029,0.89159466,51486,1.499466882,26499,1.126547169,36705,1.347586433,28238,1.22954051,48506,1.418065977,18711,0.855413051
37634,1.16456068,18711,0.822407829,18259,0.742713644,18711,0.833209144,48117,1.446503528,24868,1.059204645,34303,2.650089866,26499,1.169774222,45316,1.361694096,17481,0.795680482
34728,1.103352443,17481,0.769432781,16849,0.689954139,17481,0.775653754,44968,1.383164313,23337,1.001227913,32058,1.252316696,24868,1.107233765,42335,1.296511499,16331,0.733003951
32046,1.044425701,16331,0.710621847,15548,0.633258075,16331,0.713552436,42026,1.326639096,21901,0.941842168,29961,1.190621535,23337,1.047905503,39550,1.242686792,15257,0.677281997
29572,0.988493422,15257,0.652139695,14347,0.577426133,15257,0.66311241,39275,1.267636061,20553,0.886227604,28000,1.142436263,21901,0.997873138,36949,1.190866419,14253,0.634018551
27288,0.925716657,14253,0.599493429,13239,0.528603189,14253,0.616585835,36705,1.221564138,19287,0.828416638,26168,1.089747695,20553,0.941221705,34518,1.129066135,13316,0.584952513
25181,0.871352905,13316,0.557450392,12217,0.492310026,13316,0.574842365,34303,1.162870831,18100,0.785027333,24455,1.029953926,19287,0.895861623,32248,1.067975719,12440,0.535587811
23237,0.813780801,12440,0.515366257,11274,0.455584802,12440,0.531517703,32058,1.110604363,16986,0.733681249,22855,0.98362001,18100,0.837458083,30127,1.010309373,11621,0.497273635
21442,0.754640169,11621,0.469336735,10403,0.41141852,11621,0.48846975,29961,1.062790224,15940,0.684200035,21359,0.929430343,16986,0.79224401,28145,0.950889235,10857,0.462927408
19787,0.705801913,10857,0.430951401,9600,0.373685153,10857,0.460877949,28000,1.010485041,14959,0.642136859,19962,0.880744705,15940,0.742601002,26294,0.90278523,10143,0.425551886
18259,0.651152975,10143,0.397949878,8859,0.349009643,10143,0.420834261,26168,0.957250675,14038,0.59891332,18655,0.827305588,14959,0.702107881,24564,0.848668225,9476,0.399525553
16849,0.608802721,9476,0.365441528,8175,0.32423812,9476,0.390870672,24455,0.90808148,13174,0.561242948,17434,0.795031963,14038,0.661760769,22948,0.792421615,8852,0.367824625
15548,0.560677433,8852,0.34107054,7543,0.292841654,8852,0.35940495,22855,0.860731932,12363,0.517853643,16294,0.741792992,13174,0.617033392,21439,0.741895707,8270,0.338640999
14347,0.517400322,8270,0.309754026,6961,0.272246724,8270,0.335370831,21359,0.808194453,11602,0.487145452,15227,0.697710724,12363,0.572208676,20029,0.698009154,7726,0.320934559
13239,0.478579256,7726,0.285177549,6423,0.24627503,7726,0.314301447,19962,0.761851518,10888,0.457058885,14231,0.653978712,11602,0.545245709,18711,0.650823802,7218,0.292689587
12217,0.443358675,7218,0.26249157,5927,0.227552367,7218,0.287816481,18655,0.721625696,10218,0.422289422,13300,0.059993916,10888,0.507721435,17481,0.609025096,6743,0.266748586
11274,0.410205698,6743,0.240504253,5470,0.207389499,6743,0.266509918,17434,0.672224205,9589,0.401278555,12429,0.580474908,10218,0.474285408,16331,0.567852745,6300,0.245714188
10403,0.379548107,6300,0.221640369,5047,0.185258351,6300,0.240934137,16294,0.63703145,8998,0.368125313,11616,0.545149049,9589,0.444110246,15257,0.531900012,5885,0.229245066
9600,0.352455352,5885,0.198379021,4658,0.168407954,5885,0.217097667,15227,0.596534617,8444,0.345995523,10856,0.511524436,8998,0.419678099,14253,0.499580134,5498,0.21456792
8859,0.326966774,5498,0.182679666,4298,0.157174356,5498,0.200099852,14231,0.559831942,7925,0.319141397,10145,0.472345757,8444,0.391060365,13316,0.455401282,5136,0.192040209
8175,0.301264305,5136,0.168007756,3966,0.136963482,5136,0.182509091,13300,0.518251063,7437,0.295022414,9481,0.44797792,7925,0.368185645,12440,0.430180085,4799,0.179027042
7543,0.272995154,4799,0.157815505,3660,0.13153871,4799,0.171124508,12429,0.485574842,6979,0.271110638,8861,0.417905907,7437,0.333532879,11621,0.394644922,4483,0.172328461
6961,0.252497346,4483,0.141253096,3377,0.116272539,4483,0.152664091,11616,0.448949599,6549,0.25623312,8281,0.394989132,6979,0.312750953,10857,0.365081002,4188,0.152062054
6423,0.231179626,4188,0.132951343,3116,0.101966504,4188,0.143414118,10856,0.417744582,6146,0.242101551,7739,0.371121661,6549,0.289973572,10143,0.342365222,3913,0.143955491
5927,0.212606829,3913,0.114786121,2876,0.093949363,3913,0.129420568,10145,0.397805892,5768,0.223162761,7233,0.343351333,6146,0.270700404,9476,0.327457991,3655,0.131283653
5470,0.197919704,3655,0.105087043,2654,0.084540025,3655,0.122581913,9481,0.369465852,5413,0.211103269,6759,0.328640565,5768,0.251086549,8852,0.303614774,3415,0.117417164
5047,0.183125634,3415,0.09641541,2449,0.07205825,3415,0.107481529,8861,0.340622505,5080,0.195189713,6317,0.299719395,5413,0.235609611,8270,0.285575772,3190,0.108798607
4658,0.170256576,3190,0.082688749,2260,0.067017533,3190,0.092460204,8281,0.318051134,4767,0.181928416,5904,0.282356685,5080,0.221349414,7726,0.258016186,2980,0.096425432
4298,0.158956045,2980,0.082770944,2085,0.061640768,2980,0.085502959,7739,0.295402332,4473,0.168832886,5517,0.261491412,4767,0.206699859,7218,0.242816657,2784,0.091092167
3966,0.137602676,2784,0.07504456,1924,0.057176133,2784,0.080285026,7233,0.276547688,4198,0.162492328,5156,0.241126505,4473,0.189908842,6743,0.219349251,2601,0.084308254
3660,0.129154014,2601,0.06390706,,,2601,0.076450635,6759,0.260325725,3940,0.143553539,4819,0.225114784,4198,0.179493544,6300,0.20485959,2430,0.073428393
3377,0.117960429,2430,0.057578001,,,2430,0.065698529,6317,0.235392684,3697,0.138704877,4504,0.211504822,3940,0.161631795,5885,0.187405186,2270,0.066473816
3116,0.104699238,2270,0.056879338,,,2270,0.06158743,5904,0.221300095,3470,0.132157112,4209,0.193491636,3697,0.152481907,5498,0.174669316,2121,0.055721953
2876,0.097676511,2121,0.053221635,,,2121,0.051902629,5517,0.206162178,3256,0.118730048,3933,0.179381307,3470,0.135058185,5136,0.161140065,1981,0.050900682
2654,0.098211237,1981,0.051331137,,,1981,0.045024443,5156,0.192960055,3056,0.110441738,3676,0.168973689,3256,0.120311291,4799,0.149448119,,
2449,0.083738002,1851,0.04179645,,,,,4819,0.178015717,2867,0.101904778,3435,0.155113543,3056,0.103471604,4483,0.139635236,,
2260,0.076750923,,,,,,,4504,0.161251732,2691,0.091212857,3211,0.143855302,2867,0.092131583,4188,0.127609235,,
2085,0.064701777,,,,,,,4209,0.154437733,2525,0.085120949,3001,0.133397647,2691,0.089552094,3913,0.115082151,,
1924,0.064095754,,,,,,,3933,0.143752144,2370,0.077702911,2804,0.118386659,2525,0.081375598,3655,0.106104407,,
