"Variable","Measure","Country","Year","Value"
"All causes of death","Number of total deaths","Latvia",2008,31031
"All causes of death","Number of total deaths","Latvia",2009,29937
"All causes of death","Number of total deaths","Latvia",2010,30079
"All causes of death","Number of total deaths","Latvia",2011,28550
"All causes of death","Number of total deaths","Latvia",2012,29054
"All causes of death","Number of total deaths","Latvia",2013,28687
"All causes of death","Number of total deaths","Latvia",2014,28201
"All causes of death","Number of total deaths","Costa Rica",2000,14944
"All causes of death","Number of total deaths","Costa Rica",2001,15609
"All causes of death","Number of total deaths","Costa Rica",2002,15004
"All causes of death","Number of total deaths","Costa Rica",2003,15800
"All causes of death","Number of total deaths","Costa Rica",2004,16475
"All causes of death","Number of total deaths","Costa Rica",2005,15519
"All causes of death","Number of total deaths","Costa Rica",2006,16641
"All causes of death","Number of total deaths","Costa Rica",2007,15938
"All causes of death","Number of total deaths","Costa Rica",2008,16478
"All causes of death","Number of total deaths","Costa Rica",2009,16652
"All causes of death","Number of total deaths","Costa Rica",2010,18988
"All causes of death","Number of total deaths","Costa Rica",2011,18458
"All causes of death","Number of total deaths","Costa Rica",2012,18913
"All causes of death","Number of total deaths","Costa Rica",2013,19365
"All causes of death","Number of total deaths","Costa Rica",2014,20290
"All causes of death","Number of total deaths","Colombia",2000,187246
"All causes of death","Number of total deaths","Colombia",2001,191350
"All causes of death","Number of total deaths","Colombia",2002,192030
"All causes of death","Number of total deaths","Colombia",2003,189770
"All causes of death","Number of total deaths","Colombia",2004,188754
"All causes of death","Number of total deaths","Colombia",2005,188812
"All causes of death","Number of total deaths","Colombia",2006,192783
"All causes of death","Number of total deaths","Colombia",2007,191634
"All causes of death","Number of total deaths","Colombia",2008,196718
"All causes of death","Number of total deaths","Colombia",2009,196681
"All causes of death","Number of total deaths","Colombia",2010,200512
"All causes of death","Number of total deaths","Colombia",2011,195798
"All causes of death","Number of total deaths","Colombia",2012,199709
"All causes of death","Number of total deaths","Colombia",2013,203058
"All causes of death","Number of total deaths","Lithuania",2000,38919
"All causes of death","Number of total deaths","Lithuania",2001,40399
"All causes of death","Number of total deaths","Lithuania",2002,41072
"All causes of death","Number of total deaths","Lithuania",2003,40990
"All causes of death","Number of total deaths","Lithuania",2004,41340
"All causes of death","Number of total deaths","Lithuania",2005,43799
"All causes of death","Number of total deaths","Lithuania",2006,44813
"All causes of death","Number of total deaths","Lithuania",2007,45624
"All causes of death","Number of total deaths","Lithuania",2008,43832
"All causes of death","Number of total deaths","Lithuania",2009,42032
"All causes of death","Number of total deaths","Lithuania",2010,42120
"All causes of death","Number of total deaths","Lithuania",2011,41037
"All causes of death","Number of total deaths","Lithuania",2012,40938
"All causes of death","Number of total deaths","Lithuania",2013,41511
"All causes of death","Number of total deaths","Lithuania",2014,40252
"All causes of death","Number of total deaths","Lithuania",2015,41776
