"Variable","Measure","Country","Year","Value"
"All causes of death","Number of total deaths","Germany",2008,844439
"All causes of death","Number of total deaths","Germany",2009,854544
"All causes of death","Number of total deaths","Germany",2010,858768
"All causes of death","Number of total deaths","Germany",2011,852328
"All causes of death","Number of total deaths","Germany",2012,869582
"All causes of death","Number of total deaths","Germany",2013,893825
"All causes of death","Number of total deaths","Germany",2014,868356
"All causes of death","Number of total deaths","Greece",2000,105170
"All causes of death","Number of total deaths","Greece",2001,102559
"All causes of death","Number of total deaths","Greece",2002,103915
"All causes of death","Number of total deaths","Greece",2003,105529
"All causes of death","Number of total deaths","Greece",2004,104942
"All causes of death","Number of total deaths","Greece",2005,105091
"All causes of death","Number of total deaths","Greece",2006,104968
"All causes of death","Number of total deaths","Greece",2007,109895
"All causes of death","Number of total deaths","Greece",2008,107979
"All causes of death","Number of total deaths","Greece",2009,108316
"All causes of death","Number of total deaths","Greece",2010,109084
"All causes of death","Number of total deaths","Greece",2011,111099
"All causes of death","Number of total deaths","Greece",2012,116668
"All causes of death","Number of total deaths","Greece",2013,111794
"All causes of death","Number of total deaths","Greece",2014,113740
"All causes of death","Number of total deaths","Hungary",2000,135601
"All causes of death","Number of total deaths","Hungary",2001,132183
"All causes of death","Number of total deaths","Hungary",2002,132833
"All causes of death","Number of total deaths","Hungary",2003,135823
"All causes of death","Number of total deaths","Hungary",2004,132492
"All causes of death","Number of total deaths","Hungary",2005,135732
"All causes of death","Number of total deaths","Hungary",2006,131603
"All causes of death","Number of total deaths","Hungary",2007,132938
"All causes of death","Number of total deaths","Hungary",2008,130027
"All causes of death","Number of total deaths","Hungary",2009,130414
"All causes of death","Number of total deaths","Hungary",2010,130456
"All causes of death","Number of total deaths","Hungary",2011,128795
"All causes of death","Number of total deaths","Hungary",2012,129440
"All causes of death","Number of total deaths","Hungary",2013,126778
"All causes of death","Number of total deaths","Hungary",2014,126308
"All causes of death","Number of total deaths","Hungary",2015,126778
"All causes of death","Number of total deaths","Iceland",2000,1828
"All causes of death","Number of total deaths","Iceland",2001,1725
"All causes of death","Number of total deaths","Iceland",2002,1822
"All causes of death","Number of total deaths","Iceland",2003,1826
"All causes of death","Number of total deaths","Iceland",2004,1824
"All causes of death","Number of total deaths","Iceland",2005,1837
"All causes of death","Number of total deaths","Iceland",2006,1903
"All causes of death","Number of total deaths","Iceland",2007,1943
"All causes of death","Number of total deaths","Iceland",2008,1987
"All causes of death","Number of total deaths","Iceland",2009,2002
"All causes of death","Number of total deaths","Iceland",2010,2019
"All causes of death","Number of total deaths","Iceland",2011,1988
"All causes of death","Number of total deaths","Iceland",2012,1955
"All causes of death","Number of total deaths","Iceland",2013,2158
"All causes of death","Number of total deaths","Iceland",2014,2048
"All causes of death","Number of total deaths","Iceland",2015,2182
"All causes of death","Number of total deaths","Ireland",2000,31391
"All causes of death","Number of total deaths","Ireland",2001,30212
"All causes of death","Number of total deaths","Ireland",2002,29683
"All causes of death","Number of total deaths","Ireland",2003,29074
"All causes of death","Number of total deaths","Ireland",2004,28665
"All causes of death","Number of total deaths","Ireland",2005,28260
"All causes of death","Number of total deaths","Ireland",2006,28482
"All causes of death","Number of total deaths","Ireland",2007,28117
"All causes of death","Number of total deaths","Ireland",2008,28274
"All causes of death","Number of total deaths","Ireland",2009,28898
"All causes of death","Number of total deaths","Ireland",2010,27122
"All causes of death","Number of total deaths","Ireland",2011,28456
"All causes of death","Number of total deaths","Ireland",2012,29186
"All causes of death","Number of total deaths","Ireland",2013,29504
"All causes of death","Number of total deaths","Italy",2000,560121
"All causes of death","Number of total deaths","Italy",2001,556892
"All causes of death","Number of total deaths","Italy",2002,560390
"All causes of death","Number of total deaths","Italy",2003,588897
"All causes of death","Number of total deaths","Italy",2006,558614
"All causes of death","Number of total deaths","Italy",2007,572881
"All causes of death","Number of total deaths","Italy",2008,581470
"All causes of death","Number of total deaths","Italy",2009,588438
"All causes of death","Number of total deaths","Italy",2010,584615
"All causes of death","Number of total deaths","Italy",2011,594153
"All causes of death","Number of total deaths","Italy",2012,613520
"All causes of death","Number of total deaths","Japan",2000,961653
"All causes of death","Number of total deaths","Japan",2001,970331
"All causes of death","Number of total deaths","Japan",2002,982379
"All causes of death","Number of total deaths","Japan",2003,1014951
"All causes of death","Number of total deaths","Japan",2004,1028602
"All causes of death","Number of total deaths","Japan",2005,1083796
"All causes of death","Number of total deaths","Japan",2006,1084450
"All causes of death","Number of total deaths","Japan",2007,1108334
"All causes of death","Number of total deaths","Japan",2008,1142407
"All causes of death","Number of total deaths","Japan",2009,1141865
"All causes of death","Number of total deaths","Japan",2010,1197012
"All causes of death","Number of total deaths","Japan",2011,1253066
"All causes of death","Number of total deaths","Japan",2012,1256359
